
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.realview.bootmem.bytesRead::bigCluster.cpus.data           28                       # Number of bytes read from this memory (Byte)
system.realview.bootmem.bytesRead::littleCluster.cpus.inst          640                       # Number of bytes read from this memory (Byte)
system.realview.bootmem.bytesRead::littleCluster.cpus.data            8                       # Number of bytes read from this memory (Byte)
system.realview.bootmem.bytesRead::total          868                       # Number of bytes read from this memory (Byte)
system.realview.bootmem.bytesInstRead::bigCluster.cpus.inst          192                       # Number of instructions bytes read from this memory (Byte)
system.realview.bootmem.bytesInstRead::littleCluster.cpus.inst          640                       # Number of instructions bytes read from this memory (Byte)
system.realview.bootmem.bytesInstRead::total          832                       # Number of instructions bytes read from this memory (Byte)
system.realview.bootmem.numReads::bigCluster.cpus.inst           12                       # Number of read requests responded to by this memory (Count)
system.realview.bootmem.numReads::bigCluster.cpus.data            4                       # Number of read requests responded to by this memory (Count)
system.realview.bootmem.numReads::littleCluster.cpus.inst           10                       # Number of read requests responded to by this memory (Count)
system.realview.bootmem.numReads::littleCluster.cpus.data            1                       # Number of read requests responded to by this memory (Count)
system.realview.bootmem.numReads::total            27                       # Number of read requests responded to by this memory (Count)
system.realview.bootmem.bwRead::bigCluster.cpus.inst        15156                       # Total read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwRead::bigCluster.cpus.data         2210                       # Total read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwRead::littleCluster.cpus.inst        50519                       # Total read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwRead::littleCluster.cpus.data          631                       # Total read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwRead::total           68517                       # Total read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwInstRead::bigCluster.cpus.inst        15156                       # Instruction read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwInstRead::littleCluster.cpus.inst        50519                       # Instruction read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwInstRead::total        65675                       # Instruction read bandwidth from this memory ((Byte/Second))
system.realview.bootmem.bwTotal::bigCluster.cpus.inst        15156                       # Total bandwidth to/from this memory ((Byte/Second))
system.realview.bootmem.bwTotal::bigCluster.cpus.data         2210                       # Total bandwidth to/from this memory ((Byte/Second))
system.realview.bootmem.bwTotal::littleCluster.cpus.inst        50519                       # Total bandwidth to/from this memory ((Byte/Second))
system.realview.bootmem.bwTotal::littleCluster.cpus.data          631                       # Total bandwidth to/from this memory ((Byte/Second))
system.realview.bootmem.bwTotal::total          68517                       # Total bandwidth to/from this memory ((Byte/Second))
system.realview.bootmem.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.clock24MHz.clock                41667                       # Clock period in ticks (Tick)
system.realview.clock32KHz.clock             31250000                       # Clock period in ticks (Tick)
system.realview.dcc.osc_cpu.clock               16667                       # Clock period in ticks (Tick)
system.realview.dcc.osc_ddr.clock               25000                       # Clock period in ticks (Tick)
system.realview.dcc.osc_hsbm.clock              25000                       # Clock period in ticks (Tick)
system.realview.dcc.osc_pxl.clock               42105                       # Clock period in ticks (Tick)
system.realview.dcc.osc_smb.clock               20000                       # Clock period in ticks (Tick)
system.realview.dcc.osc_sys.clock               16667                       # Clock period in ticks (Tick)
system.realview.el2_watchdog.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.energy_ctrl.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.flash0.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.flash1.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.generic_timer_mem.frames0.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.generic_timer_mem.frames1.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.generic_timer_mem.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.gic.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.gicv2m.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.io_voltage.voltage           3.300000                       # Voltage in Volts (Volt)
system.realview.kmi0.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.kmi1.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.mcc.osc_clcd.clock              42105                       # Clock period in ticks (Tick)
system.realview.mcc.osc_mcc.clock               20000                       # Clock period in ticks (Tick)
system.realview.mcc.osc_peripheral.clock        41667                       # Clock period in ticks (Tick)
system.realview.mcc.osc_system_bus.clock        41667                       # Clock period in ticks (Tick)
system.realview.non_trusted_sram.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.pci_host.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.pwr_ctrl.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.realview_io.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.rtc.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.system_watchdog.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.trusted_dram.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.trusted_sram.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.trusted_watchdog.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.uart0.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.uart1.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.uart2.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.uart3.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.vgic.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.vio0.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.realview.vio1.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
